ADM2_PCODE,Fecha_pred,Pred_mm,Media_hist_mm,Diff_pct,SPI_like,Alerta,month,Pred_t3_mm
VE01,2025-09-11,30.351826,31.15789479062073,-2.5870460181156023,-0.051135364810581986,Normal,9,36.708744049072266
VE0101,2025-09-11,30.351826,31.15789479062073,-2.5870460181156023,-0.051135364810581986,Normal,9,36.708744049072266
VE02,2025-09-11,80.96395,75.05588018087516,7.871563048394046,0.38033060511159517,Normal,9,71.7306900024414
VE0201,2025-09-11,76.60445,64.60863375843019,18.56688797592381,0.7200043904220721,Normal,9,69.1635971069336
VE0202,2025-09-11,92.879684,88.96590773503583,4.399187073842522,0.15580742548304388,Normal,9,87.36628723144531
VE0203,2025-09-11,78.452,74.09393752248664,5.8818117949186375,0.19104529140717155,Normal,9,70.05146789550781
VE0204,2025-09-11,92.378395,82.31322482116241,12.227889602517775,0.46386321665536107,Normal,9,75.65311431884766
VE0205,2025-09-11,89.57084,85.18220494205791,5.152054926436756,0.21150053832754956,Normal,9,75.39591979980469
VE0206,2025-09-11,94.295074,83.53441946847099,12.881702013241513,0.5294972994454566,Normal,9,72.0638656616211
VE0207,2025-09-11,73.779274,64.70051961913144,14.031965154419638,0.5842452781350969,Normal,9,70.742431640625
VE03,2025-09-11,44.61127,45.75424712403376,-2.4980767717459895,-0.060910538014227085,Normal,9,36.14506149291992
VE0301,2025-09-11,43.06805,44.79959509964276,-3.8650901001895024,-0.07553425183631914,Normal,9,35.52983474731445
VE0302,2025-09-11,44.783398,51.54812786274387,-13.123134570853141,-0.2858896748015831,Normal,9,36.606571197509766
VE0303,2025-09-11,41.018692,34.42652073480133,19.148526023241995,0.4184284120182627,Normal,9,38.5543098449707
VE0304,2025-09-11,42.114094,36.92669172932331,14.047838591170024,0.31406249003251435,Normal,9,38.239261627197266
VE0305,2025-09-11,44.66624,46.89341785226549,-4.74944515058252,-0.09359275190778293,Normal,9,36.04070281982422
VE0306,2025-09-11,40.716995,22.785714285714285,78.69527691210327,1.47504258054142,Lluvia intensa,9,38.33608627319336
VE0307,2025-09-11,45.298836,36.040198978624844,25.68974933035445,0.501127988873685,Normal,9,36.73226547241211
VE0308,2025-09-11,45.540623,34.54135338345865,31.843770583090066,0.644419335213965,Normal,9,35.45787811279297
VE0309,2025-09-11,43.67258,47.159261768025566,-7.393417365569172,-0.17950379592395235,Normal,9,37.83918762207031
VE0310,2025-09-11,47.64428,50.0908005040391,-4.8841723419080845,-0.11476129306966253,Normal,9,40.59635543823242
VE0311,2025-09-11,44.648525,50.377658385083194,-11.372368884740538,-0.2597466441773901,Normal,9,35.539119720458984
VE0312,2025-09-11,43.97995,38.249152158436026,14.982809995363244,0.3424979367934998,Normal,9,37.41762924194336
VE0313,2025-09-11,43.62825,46.14518165229855,-5.45437560348809,-0.11813533898280318,Normal,9,35.92266082763672
VE0314,2025-09-11,44.003433,38.40386666749653,14.580736383979216,0.324424218716796,Normal,9,38.99696350097656
VE0315,2025-09-11,47.29503,45.90704044453184,3.0234757643953687,0.057865574524230204,Normal,9,36.613914489746094
VE0316,2025-09-11,39.128895,30.386466105181473,28.770797731020057,0.5860011210784553,Normal,9,35.876953125
VE0317,2025-09-11,44.66941,49.776584419092735,-10.260193167386907,-0.20160957095845042,Normal,9,36.040321350097656
VE0318,2025-09-11,44.78599,45.06793773980965,-0.6256023356032743,-0.014162060514800493,Normal,9,35.58617401123047
VE0319,2025-09-11,44.7083,45.468557815802725,-1.6720483519471627,-0.03145163529076612,Normal,9,36.37022399902344
VE0320,2025-09-11,47.790417,54.22222198041758,-11.861935988553062,-0.25499787073402597,Normal,9,38.777984619140625
VE04,2025-09-11,79.47725,71.6124499901793,10.98244670641357,0.45062986495020296,Normal,9,65.35691833496094
VE0401,2025-09-11,77.62957,69.41211875399253,11.838640572917287,0.3901136904441869,Normal,9,62.9500617980957
VE0402,2025-09-11,71.587944,58.65596434227506,22.047169172813685,0.49176423298860183,Normal,9,56.45163345336914
VE0403,2025-09-11,64.69429,57.30830004699248,12.888168220107497,0.38159009187234777,Normal,9,65.59390258789062
VE0404,2025-09-11,77.55389,78.66313453903771,-1.4101244909240356,-0.05025408834989726,Normal,9,68.40833282470703
VE0405,2025-09-11,81.732605,75.24070062852444,8.628181685861618,0.28382519552157826,Normal,9,65.48822784423828
VE0406,2025-09-11,80.91567,76.45583197227994,5.833224510045393,0.21044397616226104,Normal,9,69.80748748779297
VE0407,2025-09-11,72.09636,61.04066624318747,18.112012352054084,0.4133657524072581,Normal,9,51.15950012207031
VE05,2025-09-11,43.25442,44.92783948711883,-3.724680002624551,-0.09567625844351593,Normal,9,40.369178771972656
VE0501,2025-09-11,42.462852,45.642857142857146,-6.967146370519127,-0.17400840915192092,Normal,9,42.04140090942383
VE0502,2025-09-11,45.51393,44.59427421971371,2.0622760899061805,0.04544534697700489,Normal,9,39.57000732421875
VE0503,2025-09-11,41.06767,43.756390894266,-6.144752628177604,-0.1417000313815958,Normal,9,41.33907699584961
VE0504,2025-09-11,41.399677,42.69924812030075,-3.0435450292427064,-0.07741725181999204,Normal,9,42.9390869140625
VE0505,2025-09-11,42.144367,45.34736827620886,-7.063256766482991,-0.17375436959543106,Normal,9,41.507537841796875
VE0506,2025-09-11,41.542637,43.0934480796183,-3.598716921920869,-0.0811834225556044,Normal,9,39.34632873535156
VE0507,2025-09-11,40.730595,43.06015037593985,-5.410003728718369,-0.13002233219546272,Normal,9,42.10221481323242
VE0508,2025-09-11,42.84959,42.30451127819549,1.2884654776738294,0.03031739504364048,Normal,9,42.633487701416016
