ADM2_PCODE,Fecha_pred,Pred_mm,Pred_t3_mm,Fecha_base
VE0605,2025-09-11,61.38477,64.53732299804688,2025-09-01
VE0606,2025-09-11,59.10454,60.868560791015625,2025-09-01
VE0607,2025-09-11,69.6827,66.2310791015625,2025-09-01
VE0608,2025-09-11,57.917824,51.71440887451172,2025-09-01
VE0609,2025-09-11,58.130413,55.87765121459961,2025-09-01
VE0610,2025-09-11,56.383404,50.98867416381836,2025-09-01
VE0611,2025-09-11,60.446568,62.75609588623047,2025-09-01
VE0612,2025-09-11,79.07121,69.98890686035156,2025-09-01
VE07,2025-09-11,83.92769,69.91704559326172,2025-09-01
VE0701,2025-09-11,44.90904,36.79573440551758,2025-09-01
VE0702,2025-09-11,95.20157,63.56398391723633,2025-09-01
VE0703,2025-09-11,48.939713,49.31713104248047,2025-09-01
VE0704,2025-09-11,81.01847,70.54852294921875,2025-09-01
VE0705,2025-09-11,44.19092,37.99876022338867,2025-09-01
VE0706,2025-09-11,59.581676,49.46821975708008,2025-09-01
VE0707,2025-09-11,93.790665,69.07716369628906,2025-09-01
VE0708,2025-09-11,56.928043,54.19833755493164,2025-09-01
VE0709,2025-09-11,71.305115,63.79159164428711,2025-09-01
VE0710,2025-09-11,94.95971,67.98486328125,2025-09-01
VE0711,2025-09-11,47.12836,43.54851531982422,2025-09-01
VE08,2025-09-11,42.530983,41.34840393066406,2025-09-01
VE0801,2025-09-11,42.746067,41.27988052368164,2025-09-01
VE0802,2025-09-11,41.383747,43.68183135986328,2025-09-01
VE0803,2025-09-11,42.175636,41.81111145019531,2025-09-01
VE0804,2025-09-11,40.879883,41.70413589477539,2025-09-01
VE0805,2025-09-11,42.302982,42.60551071166992,2025-09-01
VE0806,2025-09-11,47.39653,45.44737243652344,2025-09-01
VE0807,2025-09-11,41.609848,42.62358093261719,2025-09-01
VE0808,2025-09-11,41.328384,40.54720687866211,2025-09-01
VE0809,2025-09-11,41.780617,40.057151794433594,2025-09-01
VE0810,2025-09-11,43.92629,41.55618667602539,2025-09-01
VE0811,2025-09-11,41.450264,42.113616943359375,2025-09-01
VE0812,2025-09-11,42.2412,41.76291275024414,2025-09-01
VE0813,2025-09-11,40.537823,42.213138580322266,2025-09-01
VE0814,2025-09-11,46.898113,47.615474700927734,2025-09-01
VE09,2025-09-11,54.997547,47.897098541259766,2025-09-01
VE0901,2025-09-11,50.23411,48.23488235473633,2025-09-01
VE0902,2025-09-11,53.013622,50.40320587158203,2025-09-01
VE0903,2025-09-11,59.763763,51.98194885253906,2025-09-01
VE0904,2025-09-11,56.296677,56.76431655883789,2025-09-01
VE0905,2025-09-11,54.03438,47.56117248535156,2025-09-01
VE0906,2025-09-11,54.374012,48.69340515136719,2025-09-01
VE0907,2025-09-11,54.002625,47.635658264160156,2025-09-01
VE0908,2025-09-11,52.964153,49.288795471191406,2025-09-01
VE0909,2025-09-11,54.710857,48.01609802246094,2025-09-01
VE10,2025-09-11,60.166275,54.75508499145508,2025-09-01
VE1001,2025-09-11,59.68911,56.985286712646484,2025-09-01
VE1002,2025-09-11,49.349686,47.55611801147461,2025-09-01
VE1003,2025-09-11,67.058815,76.92401123046875,2025-09-01
VE1004,2025-09-11,64.11669,60.77803039550781,2025-09-01
VE11,2025-09-11,30.331976,38.67622375488281,2025-09-01
VE1101,2025-09-11,26.213121,32.327945709228516,2025-09-01
VE1102,2025-09-11,18.982784,30.091869354248047,2025-09-01
VE1103,2025-09-11,41.300575,42.05009078979492,2025-09-01
VE1104,2025-09-11,40.004585,39.23090744018555,2025-09-01
VE1105,2025-09-11,12.578856,23.16230010986328,2025-09-01
VE1106,2025-09-11,19.72169,28.205018997192383,2025-09-01
VE1107,2025-09-11,53.525486,47.049983978271484,2025-09-01
